央视超清,#genre#
CETV4,http://223.110.241.139:6610/gitv/live1/G_CETV-4/G_CETV-4/
卫视高清,#genre#

北京卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-beijingstv/HD-2500k-1080P-beijingstv
东方卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-dongfangstv/HD-2500k-1080P-dongfangstv
江苏卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-jiangsustv/HD-2500k-1080P-jiangsustv
浙江卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-zhejiangstv/HD-2500k-1080P-zhejiangstv
深圳卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-shenzhenstv/HD-2500k-1080P-shenzhenstv
天津卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-tianjinstv/HD-2500k-1080P-tianjinstv
湖南卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-hunanstv/HD-2500k-1080P-hunanstv
湖北卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-hubeistv/HD-2500k-1080P-hubeistv
安徽卫视,http://223.110.241.139:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ
广东卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-guangdongstv/HD-2500k-1080P-guangdongstv
山东卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-shandongstv/HD-2500k-1080P-shandongstv
黑龙江卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-heilongjiangstv/HD-2500k-1080P-heilongjiangstv
辽宁卫视,http://223.110.241.139:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ
江西卫视,http://223.110.241.139:6610/cntv/live1/jiangxistv/jiangxistv
北京卫视,http://223.110.241.139:6610/gitv/live1/G_BEIJING/G_BEIJING/
东方卫视,http://223.110.241.139:6610/gitv/live1/G_DONGFANG/G_DONGFANG/
浙江卫视,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG/G_ZHEJIANG
